"","comparison","ROI","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",65.4679322890259,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",102.077694731472,36.6097624424465,0.0130278931368641,"sig"
"3","timecon_v_con","lh_bankssts",478.833033564516,376.755338833044,1.33432118745681e-67,"sig"
"5","uncon_v_errcon","lh_bankssts",443.407707744296,377.93977545527,7.59039553983309e-68,"sig"
"6","errcon_v_con","lh_bankssts",478.833033564516,35.4253258202205,0.0179525457913689,"sig"
"8","uncon_v_con","lh_bankssts",478.833033564516,413.36510127549,1.53544755965333e-63,"sig"
"11","uncon","lh_caudalanteriorcingulate",37.3991222706012,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",88.8654794416701,51.466357171069,0.000136139070402228,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",456.333152434863,367.467672993193,1.10926056316338e-65,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",403.971319408116,366.572197137515,1.69824809505656e-65,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",456.333152434863,52.3618330267474,0.000100816329908811,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",456.333152434863,418.934030164262,1.22125083589687e-64,"sig"
"12","uncon","lh_caudalmiddlefrontal",24.2606561995598,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",46.9305923972478,22.669936197688,0.305290451820386,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",788.134553653742,741.203961256494,4.17502070591847e-144,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",766.878822735678,742.618166536118,2.09410246127009e-144,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",788.134553653742,21.255730918064,0.382220259792814,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",788.134553653742,763.873897454182,1.32353714244489e-134,"sig"
"13","uncon","lh_cuneus",137.153362444342,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",178.593787466097,41.4404250217542,0.00326898122227316,"sig"
"33","timecon_v_con","lh_cuneus",666.562040991829,487.968253525732,9.58923758933619e-91,"sig"
"53","uncon_v_errcon","lh_cuneus",623.511498082069,486.358135637727,2.08234591373282e-90,"sig"
"63","errcon_v_con","lh_cuneus",666.562040991829,43.0505429097594,0.00201311158376108,"sig"
"83","uncon_v_con","lh_cuneus",666.562040991829,529.408678547486,1.04699451219658e-86,"sig"
"14","uncon","lh_entorhinal",60.1251008395361,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",85.4055491385778,25.2804482990417,0.190911722320483,"nonsig"
"34","timecon_v_con","lh_entorhinal",220.384923915024,134.979374776446,4.50852292119808e-19,"sig"
"54","uncon_v_errcon","lh_entorhinal",194.392212299719,134.267111460183,6.14273583568032e-19,"sig"
"64","errcon_v_con","lh_entorhinal",220.384923915024,25.9927116153049,0.166052724937406,"nonsig"
"84","uncon_v_con","lh_entorhinal",220.384923915024,160.259823075488,2.52610712707801e-16,"sig"
"15","uncon","lh_fusiform",18.7945317200107,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",45.5494119673452,26.7548802473344,0.142302178467415,"nonsig"
"35","timecon_v_con","lh_fusiform",422.831537036397,377.282125069052,1.0382488529714e-67,"sig"
"55","uncon_v_errcon","lh_fusiform",394.550534537303,375.756002817292,2.14753048336486e-67,"sig"
"65","errcon_v_con","lh_fusiform",422.831537036397,28.2810024990946,0.102912553452314,"nonsig"
"85","uncon_v_con","lh_fusiform",422.831537036397,404.037005316387,1.0579594628785e-61,"sig"
"16","uncon","lh_inferiorparietal",63.2228642526012,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",84.5439687646473,21.3211045120462,0.378454023401747,"nonsig"
"36","timecon_v_con","lh_inferiorparietal",931.364475232815,846.820506468168,1.60568730118393e-166,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",910.030425450821,846.80756119822,1.61589223571053e-166,"sig"
"66","errcon_v_con","lh_inferiorparietal",931.364475232815,21.3340497819938,0.377710495551134,"nonsig"
"86","uncon_v_con","lh_inferiorparietal",931.364475232815,868.141610980214,3.41500625424461e-156,"sig"
"17","uncon","lh_inferiortemporal",18.3738220037343,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",38.453013772674,20.0791917689397,0.452985782533151,"nonsig"
"37","timecon_v_con","lh_inferiortemporal",549.160029585522,510.707015812848,1.66499608868198e-95,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",528.802074598452,510.428252594717,1.90467290002871e-95,"sig"
"67","errcon_v_con","lh_inferiortemporal",549.160029585522,20.3579549870706,0.435747543235182,"nonsig"
"87","uncon_v_con","lh_inferiortemporal",549.160029585522,530.786207581788,5.52299009754022e-87,"sig"
"18","uncon","lh_isthmuscingulate",56.3695203227894,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",82.7559053807134,26.386385057924,0.153426637518482,"nonsig"
"38","timecon_v_con","lh_isthmuscingulate",451.199628316422,368.443722935709,6.97263081530057e-66,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",427.048453353228,370.678933030438,2.40732505263205e-66,"sig"
"68","errcon_v_con","lh_isthmuscingulate",451.199628316422,24.1511749631946,0.235850897490361,"nonsig"
"88","uncon_v_con","lh_isthmuscingulate",451.199628316422,394.830107993633,6.83210656824115e-60,"sig"
"19","uncon","lh_lateraloccipital",58.16704836309,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",90.5837859391406,32.4167375760506,0.0390551947736317,"sig"
"39","timecon_v_con","lh_lateraloccipital",840.269357685819,749.685571746679,6.65658549767258e-146,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",807.844030152837,749.676981789747,6.68454937910794e-146,"sig"
"69","errcon_v_con","lh_lateraloccipital",840.269357685819,32.4253275329822,0.0389717821341886,"sig"
"89","uncon_v_con","lh_lateraloccipital",840.269357685819,782.102309322729,2.27801347283954e-138,"sig"
"110","uncon","lh_lateralorbitofrontal",32.1583458978072,NA,NA,NA
"210","uncon_v_timecon","lh_lateralorbitofrontal",60.837443086204,28.6790971883968,0.0942730038764477,"nonsig"
"310","timecon_v_con","lh_lateralorbitofrontal",535.153412927408,474.315969841204,6.8533074573458e-88,"sig"
"510","uncon_v_errcon","lh_lateralorbitofrontal",507.560610495407,475.4022645976,4.06365663993225e-88,"sig"
"610","errcon_v_con","lh_lateralorbitofrontal",535.153412927408,27.592802432001,0.119394436565993,"nonsig"
"810","uncon_v_con","lh_lateralorbitofrontal",535.153412927408,502.995067029601,2.16281508470634e-81,"sig"
"111","uncon","lh_lingual",44.1708370201784,NA,NA,NA
"211","uncon_v_timecon","lh_lingual",82.0061005762125,37.8352635560342,0.00927497496300938,"sig"
"311","timecon_v_con","lh_lingual",498.736255251118,416.730154674906,6.86968105627302e-76,"sig"
"511","uncon_v_errcon","lh_lingual",460.528083613038,416.35724659286,8.21165546674411e-76,"sig"
"611","errcon_v_con","lh_lingual",498.736255251118,38.2081716380799,0.0083509747356303,"sig"
"811","uncon_v_con","lh_lingual",498.736255251118,454.56541823094,1.04656329587643e-71,"sig"
"112","uncon","lh_medialorbitofrontal",27.5561480681895,NA,NA,NA
"212","uncon_v_timecon","lh_medialorbitofrontal",47.4864759568243,19.9303278886348,0.462295575153391,"nonsig"
"312","timecon_v_con","lh_medialorbitofrontal",178.942921024524,131.456445067699,2.07675791631994e-18,"sig"
"512","uncon_v_errcon","lh_medialorbitofrontal",159.365717381063,131.809569312873,1.78243601825037e-18,"sig"
"612","errcon_v_con","lh_medialorbitofrontal",178.942921024524,19.5772036434612,0.484641087263905,"nonsig"
"812","uncon_v_con","lh_medialorbitofrontal",178.942921024524,151.386772956334,7.35975295009188e-15,"sig"
"113","uncon","lh_middletemporal",34.8801358990803,NA,NA,NA
"213","uncon_v_timecon","lh_middletemporal",72.2033723498993,37.3232364508191,0.0107000053699838,"sig"
"313","timecon_v_con","lh_middletemporal",1564.31834781844,1492.11497546854,1.95794847442657e-304,"sig"
"513","uncon_v_errcon","lh_middletemporal",1526.53994578263,1491.65980988354,2.45159269387031e-304,"sig"
"613","errcon_v_con","lh_middletemporal",1564.31834781844,37.7784020358151,0.00942399420906785,"sig"
"813","uncon_v_con","lh_middletemporal",1564.31834781844,1529.43821191936,3.97252102091611e-295,"sig"
"114","uncon","lh_parahippocampal",50.6702009542427,NA,NA,NA
"214","uncon_v_timecon","lh_parahippocampal",71.8684376442486,21.1982366900059,0.385548188689746,"nonsig"
"314","timecon_v_con","lh_parahippocampal",180.044800711966,108.176363067718,4.21866144071009e-14,"sig"
"514","uncon_v_errcon","lh_parahippocampal",157.881810977805,107.211610023562,6.315320706604e-14,"sig"
"614","errcon_v_con","lh_parahippocampal",180.044800711966,22.1629897341615,0.331732289377746,"nonsig"
"814","uncon_v_con","lh_parahippocampal",180.044800711966,129.374599757723,2.36830234193332e-11,"sig"
"115","uncon","lh_paracentral",56.2717583279111,NA,NA,NA
"215","uncon_v_timecon","lh_paracentral",79.7216329848653,23.4498746569543,0.267248192265821,"nonsig"
"315","timecon_v_con","lh_paracentral",321.034715709841,241.313082724976,6.41333434775988e-40,"sig"
"515","uncon_v_errcon","lh_paracentral",298.133702540873,241.861944212962,4.97395932372326e-40,"sig"
"615","errcon_v_con","lh_paracentral",321.034715709841,22.9010131689674,0.293681116768813,"nonsig"
"815","uncon_v_con","lh_paracentral",321.034715709841,264.76295738193,6.36404855601786e-35,"sig"
"116","uncon","lh_parsopercularis",39.0195167847106,NA,NA,NA
"216","uncon_v_timecon","lh_parsopercularis",69.7192219997396,30.699705215029,0.0592817212124917,"nonsig"
"316","timecon_v_con","lh_parsopercularis",789.057788205947,719.338566206208,1.78630729736751e-139,"sig"
"516","uncon_v_errcon","lh_parsopercularis",759.696024996249,720.676508211538,9.30397149282379e-140,"sig"
"616","errcon_v_con","lh_parsopercularis",789.057788205947,29.3617632096987,0.080876626961515,"nonsig"
"816","uncon_v_con","lh_parsopercularis",789.057788205947,750.038271421237,9.45572094064889e-132,"sig"
"117","uncon","lh_parsorbitalis",23.0110222476692,NA,NA,NA
"217","uncon_v_timecon","lh_parsorbitalis",42.6021391122731,19.591116864604,0.483754211381871,"nonsig"
"317","timecon_v_con","lh_parsorbitalis",378.055462068879,335.453322956606,4.3922947223627e-59,"sig"
"517","uncon_v_errcon","lh_parsorbitalis",358.505887675696,335.494865428027,4.30676968640301e-59,"sig"
"617","errcon_v_con","lh_parsorbitalis",378.055462068879,19.5495743931827,0.486403739668851,"nonsig"
"817","uncon_v_con","lh_parsorbitalis",378.055462068879,355.04443982121,4.0052110458322e-52,"sig"
"118","uncon","lh_parstriangularis",44.5021725032277,NA,NA,NA
"218","uncon_v_timecon","lh_parstriangularis",72.6649144500288,28.1627419468011,0.10560255826457,"nonsig"
"318","timecon_v_con","lh_parstriangularis",480.607249620728,407.942335170699,4.59515451733895e-74,"sig"
"518","uncon_v_errcon","lh_parstriangularis",452.871858940599,408.369686437371,3.74605099657802e-74,"sig"
"618","errcon_v_con","lh_parstriangularis",480.607249620728,27.7353906801288,0.115812698466193,"nonsig"
"818","uncon_v_con","lh_parstriangularis",480.607249620728,436.1050771175,4.87461569264943e-68,"sig"
"119","uncon","lh_pericalcarine",55.7021808507531,NA,NA,NA
"219","uncon_v_timecon","lh_pericalcarine",88.0549223975815,32.3527415468284,0.0396816642166786,"sig"
"319","timecon_v_con","lh_pericalcarine",260.752200087507,172.697277689925,2.5880166657562e-26,"sig"
"519","uncon_v_errcon","lh_pericalcarine",228.720935743401,173.018754892648,2.24045953352627e-26,"sig"
"619","errcon_v_con","lh_pericalcarine",260.752200087507,32.031264344106,0.0429663148082834,"sig"
"819","uncon_v_con","lh_pericalcarine",260.752200087507,205.050019236754,4.81383470309978e-24,"sig"
"120","uncon","lh_postcentral",70.9101082240351,NA,NA,NA
"220","uncon_v_timecon","lh_postcentral",108.732615371681,37.8225071476463,0.00930821331090333,"sig"
"320","timecon_v_con","lh_postcentral",460.275449204434,351.542833832753,2.14241041892334e-62,"sig"
"520","uncon_v_errcon","lh_postcentral",424.297629386442,353.387521162407,8.92626421335701e-63,"sig"
"620","errcon_v_con","lh_postcentral",460.275449204434,35.9778198179919,0.0154736796422571,"sig"
"820","uncon_v_con","lh_postcentral",460.275449204434,389.365340980399,8.06954175318832e-59,"sig"
"121","uncon","lh_posteriorcingulate",74.1977152510625,NA,NA,NA
"221","uncon_v_timecon","lh_posteriorcingulate",97.335103479347,23.1373882282845,0.282098951986284,"nonsig"
"321","timecon_v_con","lh_posteriorcingulate",468.016274343895,370.681170864548,2.40476288641268e-66,"sig"
"521","uncon_v_errcon","lh_posteriorcingulate",446.14747212219,371.949756871128,1.3148656455027e-66,"sig"
"621","errcon_v_con","lh_posteriorcingulate",468.016274343895,21.8688022217052,0.34767203561537,"nonsig"
"821","uncon_v_con","lh_posteriorcingulate",468.016274343895,393.818559092833,1.07934294302002e-59,"sig"
"122","uncon","lh_precentral",49.2505392333638,NA,NA,NA
"222","uncon_v_timecon","lh_precentral",72.7994573890422,23.5489181556783,0.262651517319256,"nonsig"
"322","timecon_v_con","lh_precentral",694.375119866681,621.575662477639,8.16004450563306e-119,"sig"
"522","uncon_v_errcon","lh_precentral",670.283511357383,621.032972124019,1.06202171047141e-118,"sig"
"622","errcon_v_con","lh_precentral",694.375119866681,24.0916085092979,0.238413412335067,"nonsig"
"822","uncon_v_con","lh_precentral",694.375119866681,645.124580633317,3.29471436461936e-110,"sig"
"123","uncon","lh_precuneus",38.2123077741688,NA,NA,NA
"223","uncon_v_timecon","lh_precuneus",71.2540779606015,33.0417701864327,0.0333863327894391,"sig"
"323","timecon_v_con","lh_precuneus",554.66590182702,483.411823866419,8.60373344836491e-90,"sig"
"523","uncon_v_errcon","lh_precuneus",520.898556384921,482.686248610753,1.22010598287891e-89,"sig"
"623","errcon_v_con","lh_precuneus",554.66590182702,33.7673454420989,0.027742256359557,"sig"
"823","uncon_v_con","lh_precuneus",554.66590182702,516.453594052851,4.26094389061719e-84,"sig"
"124","uncon","lh_rostralanteriorcingulate",27.1389333296275,NA,NA,NA
"224","uncon_v_timecon","lh_rostralanteriorcingulate",52.1857623254984,25.0468289958709,0.19964541613196,"nonsig"
"324","timecon_v_con","lh_rostralanteriorcingulate",381.824573478892,329.638811153394,6.87672554943671e-58,"sig"
"524","uncon_v_errcon","lh_rostralanteriorcingulate",358.127516982596,330.988583652968,3.63206381256526e-58,"sig"
"624","errcon_v_con","lh_rostralanteriorcingulate",381.824573478892,23.6970564962969,0.255875873967768,"nonsig"
"824","uncon_v_con","lh_rostralanteriorcingulate",381.824573478892,354.685640149265,4.70161008418516e-52,"sig"
"125","uncon","lh_rostralmiddlefrontal",29.8458143698744,NA,NA,NA
"225","uncon_v_timecon","lh_rostralmiddlefrontal",40.7194048199355,10.8735904500611,0.949435015473894,"nonsig"
"325","timecon_v_con","lh_rostralmiddlefrontal",761.031017901662,720.311613081727,1.11155358549871e-139,"sig"
"525","uncon_v_errcon","lh_rostralmiddlefrontal",751.047183717729,721.201369347855,7.20333755865452e-140,"sig"
"625","errcon_v_con","lh_rostralmiddlefrontal",761.031017901662,9.9838341839328,0.968464127174473,"nonsig"
"825","uncon_v_con","lh_rostralmiddlefrontal",761.031017901662,731.185203531788,7.24629850730698e-128,"sig"
"126","uncon","lh_superiorfrontal",32.3550570145448,NA,NA,NA
"226","uncon_v_timecon","lh_superiorfrontal",50.6239811216259,18.268924107081,0.569697996374745,"nonsig"
"326","timecon_v_con","lh_superiorfrontal",504.726185696679,454.102204575053,1.13708405050627e-83,"sig"
"526","uncon_v_errcon","lh_superiorfrontal",488.084174080787,455.729117066242,5.20508856635535e-84,"sig"
"626","errcon_v_con","lh_superiorfrontal",504.726185696679,16.6420116158922,0.676081941117571,"nonsig"
"826","uncon_v_con","lh_superiorfrontal",504.726185696679,472.371128682134,2.94361460758801e-75,"sig"
"127","uncon","lh_superiorparietal",80.1763094297233,NA,NA,NA
"227","uncon_v_timecon","lh_superiorparietal",121.744336940305,41.568027510582,0.00314704831866415,"sig"
"327","timecon_v_con","lh_superiorparietal",793.825779156964,672.081442216659,1.77372802329076e-129,"sig"
"527","uncon_v_errcon","lh_superiorparietal",753.080240963341,672.903931533618,1.18864367330284e-129,"sig"
"627","errcon_v_con","lh_superiorparietal",793.825779156964,40.7455381936232,0.00401573151318934,"sig"
"827","uncon_v_con","lh_superiorparietal",793.825779156964,713.649469727241,2.93919068499935e-124,"sig"
"128","uncon","lh_superiortemporal",19.6859476538036,NA,NA,NA
"228","uncon_v_timecon","lh_superiortemporal",35.1841491111415,15.4982014573379,0.747226444005377,"nonsig"
"328","timecon_v_con","lh_superiortemporal",470.208973773491,435.024824662349,1.07501884548165e-79,"sig"
"528","uncon_v_errcon","lh_superiortemporal",453.516429277227,433.830481623424,1.90576643806037e-79,"sig"
"628","errcon_v_con","lh_superiortemporal",470.208973773491,16.6925444962633,0.672838258725415,"nonsig"
"828","uncon_v_con","lh_superiortemporal",470.208973773491,450.523026119687,6.67118705143278e-71,"sig"
"129","uncon","lh_supramarginal",89.4207035372602,NA,NA,NA
"229","uncon_v_timecon","lh_supramarginal",121.143728391286,31.7230248540258,0.0463405257133714,"sig"
"329","timecon_v_con","lh_supramarginal",1236.18569023916,1115.04196184788,1.08481923222875e-223,"sig"
"529","uncon_v_errcon","lh_supramarginal",1204.45455417604,1115.03385063878,1.08915658437501e-223,"sig"
"629","errcon_v_con","lh_supramarginal",1236.18569023916,31.7311360631227,0.0462488095968935,"sig"
"829","uncon_v_con","lh_supramarginal",1236.18569023916,1146.7649867019,2.10428625192568e-214,"sig"
"130","uncon","lh_frontalpole",55.5780958701477,NA,NA,NA
"230","uncon_v_timecon","lh_frontalpole",70.7188727844566,15.1407769143089,0.768296426693998,"nonsig"
"330","timecon_v_con","lh_frontalpole",567.860158719791,497.141285935335,1.15445127317205e-92,"sig"
"530","uncon_v_errcon","lh_frontalpole",531.089899804882,475.511803934734,3.85502716251181e-88,"sig"
"630","errcon_v_con","lh_frontalpole",567.860158719791,36.7702589149095,0.0124665536697206,"sig"
"830","uncon_v_con","lh_frontalpole",567.860158719791,512.282062849644,2.94238723543972e-83,"sig"
"131","uncon","lh_temporalpole",28.2804170032324,NA,NA,NA
"231","uncon_v_timecon","lh_temporalpole",49.894552235076,21.6141352318436,0.361810295893845,"nonsig"
"331","timecon_v_con","lh_temporalpole",210.464495535767,160.569943300691,5.82795251072563e-24,"sig"
"531","uncon_v_errcon","lh_temporalpole",180.871752619287,152.591335616055,2.00274865841402e-22,"sig"
"631","errcon_v_con","lh_temporalpole",210.464495535767,29.5927429164795,0.0767269304060999,"nonsig"
"831","uncon_v_con","lh_temporalpole",210.464495535767,182.184078532534,4.83419500693808e-20,"sig"
"132","uncon","lh_transversetemporal",25.6441832331941,NA,NA,NA
"232","uncon_v_timecon","lh_transversetemporal",51.662731676037,26.0185484428429,0.165200151240757,"nonsig"
"332","timecon_v_con","lh_transversetemporal",313.569687690818,261.906956014781,4.49347199651914e-44,"sig"
"532","uncon_v_errcon","lh_transversetemporal",288.888313036471,263.244129803277,2.40970241039892e-44,"sig"
"632","errcon_v_con","lh_transversetemporal",313.569687690818,24.6813746543466,0.213893775649357,"nonsig"
"832","uncon_v_con","lh_transversetemporal",313.569687690818,287.925504457624,2.88655657506363e-39,"sig"
"133","uncon","lh_insula",34.7509482457966,NA,NA,NA
"233","uncon_v_timecon","lh_insula",60.4845130483415,25.733564802545,0.17479282677948,"nonsig"
"333","timecon_v_con","lh_insula",263.873738966321,203.38922591798,2.40053703295758e-32,"sig"
"533","uncon_v_errcon","lh_insula",240.84753502716,206.096586781364,6.97520769208479e-33,"sig"
"633","errcon_v_con","lh_insula",263.873738966321,23.026203939161,0.287509701506504,"nonsig"
